General Fields,Cities,Majors
Beauty,"Chicago, Illinois",Nuclear Engineering
Construction,"Oklahoma City, Oklahoma",Communications
Custodian,"San Jose, California",Information Technology
Customer Service,"Indianapolis, Indiana",Mechanical Engineering
Dentistry,"Phoenix, Arizona",Physics
Driving,"Las Vegas, Nevada",Finance
Electrician,"Columbus, Ohio",Game Design
Engineer,"Charlotte, North Carolina",Public Administration
Finance,"Denver, Colorado",Civil Engineering
Fitness,"New York, New York",Petroleum Engineering
Gaming,"El Paso, Texas",Marketing
Hospitality,"Washington, DC",Industrial Engineering
Human Resources,"San Diego, California",Economics
Insurance,"Portland, Oregon",Business Administration
Journalism,"Fort Worth, Texas",Management Information Systems
Landscaping,"Detroit, Michigan",Management
Law,"Nashville-Davidson, Tennessee",Construction Management
Management,"Baltimore, Maryland",Education
Medicine,"Philadelphia, Pennsylvania",Computer Science
Mortician,"Milwaukee, Wisconsin",English
Nursing,"San Francisco, California",Liberal Arts
Real estate,"Boston, Massachusetts",Accounting
Restaurant,"Jacksonville, Florida",Health Informatics
Retail,"Dallas, Texas",Electronics Engineering
Sales,"Los Angeles, California",Cybersecurity
Social Media,"Memphis, Tennessee",Nursing
Teaching,"Seattle, Washington",Biomedical Engineering
Technology,"San Antonio, Texas",Chemistry
Therapy,"Louisville-Jefferson County, Kentucky",Political Science
Architecture,"Houston, Texas",Software Engineering
